training_seed,eval_seed,case_id,order_index,method,success,path_length,expanded_nodes,runtime_ms,runtime_p95_ms,timing_repeats
1234,2026,0,0,A*,1,35.45584487915039,29,6.7721,7.47176,5
1234,2026,0,1,Neural A*,1,38.284271240234375,43,12.7663,13.51708,5
1234,2026,0,2,iA*,1,35.45584487915039,29,18.12,18.878,5
1234,2026,1,0,Neural A*,1,42.284271240234375,58,15.0873,16.03632,5
1234,2026,1,1,iA*,1,41.21319961547852,47,21.0399,21.8863,5
1234,2026,1,2,A*,1,39.79898834228516,60,13.2389,13.86988,5
1234,2026,2,0,iA*,1,33.72792053222656,31,16.9449,18.19516,5
1234,2026,2,1,A*,1,33.72792053222656,31,7.6053,8.6365,5
1234,2026,2,2,Neural A*,1,37.870059967041016,31,9.7993,10.55474,5
1234,2026,3,0,A*,1,30.79899024963379,26,6.1212,6.19664,5
1234,2026,3,1,Neural A*,1,31.627416610717773,26,8.8658,9.28252,5
1234,2026,3,2,iA*,1,30.79899024963379,26,15.5143,17.900000000000002,5
1234,2026,4,0,Neural A*,1,46.0121955871582,102,29.1696,30.43678,5
1234,2026,4,1,iA*,1,50.45584487915039,126,38.0027,39.61552,5
1234,2026,4,2,A*,1,44.35533905029297,205,43.1436,45.54912,5
1234,2026,5,0,iA*,1,31.3847770690918,36,17.9727,18.7052,5
1234,2026,5,1,A*,1,31.3847770690918,45,10.6769,11.5272,5
1234,2026,5,2,Neural A*,1,32.21320343017578,36,10.8757,11.29284,5
1234,2026,6,0,A*,1,36.94112777709961,28,6.8473,7.31298,5
1234,2026,6,1,Neural A*,1,38.35533905029297,29,9.23,9.5701,5
1234,2026,6,2,iA*,1,36.94112777709961,28,16.0289,16.52786,5
1234,2026,7,0,Neural A*,1,29.28427124023437,22,7.4252,8.02012,5
1234,2026,7,1,iA*,1,27.627416610717773,22,14.6815,15.07944,5
1234,2026,7,2,A*,1,27.627416610717773,22,5.397,5.906219999999999,5
1234,2026,8,0,iA*,1,32.97056198120117,29,16.4804,16.97,5
1234,2026,8,1,A*,1,33.55635070800781,31,6.882,7.4132,5
1234,2026,8,2,Neural A*,1,38.87005615234375,34,9.7037,10.85684,5
1234,2026,9,0,A*,1,33.62741470336914,53,12.1628,12.34416,5
1234,2026,9,1,Neural A*,1,36.94112396240234,30,9.2792,9.7279,5
1234,2026,9,2,iA*,1,33.62741470336914,41,18.246,19.0463,5
1234,2026,10,0,Neural A*,1,32.455841064453125,27,8.5966,9.36204,5
1234,2026,10,1,iA*,1,31.62741470336914,26,15.5289,15.74872,5
1234,2026,10,2,A*,1,31.62741470336914,26,5.8251,6.45352,5
1234,2026,11,0,iA*,1,40.97055816650391,111,35.0593,35.90508,5
1234,2026,11,1,A*,1,40.97056579589844,172,37.9033,39.9331,5
1234,2026,11,2,Neural A*,1,45.94112014770508,141,34.1549,35.629999999999995,5
1234,2026,12,0,A*,1,35.79898834228516,182,38.7841,40.07912,5
1234,2026,12,1,Neural A*,1,38.284271240234375,163,38.8099,41.25892,5
1234,2026,12,2,iA*,1,36.38477325439453,166,46.3368,48.21584,5
1234,2026,13,0,Neural A*,1,41.698486328125,34,10.3784,10.8437,5
